商品序号,商品ID,艺术家,作品名,product_qa_status,scene_1_qa_status,scene_1_qa_reason,scene_2_qa_status,scene_2_qa_reason,qa_evidence_path,failure_evidence_path
35,6a3a50b882f5610015b47073,又井,小黑桌上的美景#1,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P035_小黑桌上的美景#1_QA.jpg,
36,6a3a50be891c6a0015002a3a,又井,小黑桌上的美景#2向日葵,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P036_小黑桌上的美景#2向日葵_QA.jpg,
37,6a3a503a79e4100015ff6547,又井,张扬虞美人,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P037_张扬虞美人_QA.jpg,
38,6a43928ad528ea0015af9f2c,齐亮,云绕山峰添春色,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P038_云绕山峰添春色_QA.jpg,
39,6a3a50c34cc8690015264c87,齐亮,庄稼地里的树木,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P039_庄稼地里的树木_QA.jpg,
40,6a3a5051c875390015663d9a,张赫,轻灵系列—咪,QA_FAIL_FRAME,QA_FAIL_FRAME,原作品没有当前场景中新增的木框，场景出现额外画框,QA_FAIL_FRAME,原作品没有当前场景中新增的木框，场景出现额外画框,previews/qa_batches/P040_轻灵系列—咪_QA.jpg,previews/qa_failures/P040_轻灵系列—咪_QA.jpg
41,6a3a50c979e4100015ff6a4d,张赫,轻灵系列--对语,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P041_轻灵系列--对语_QA.jpg,
42,6a42281849fb5f001546f1d4,张玲,野兽派猫居手记 1,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P042_野兽派猫居手记 1_QA.jpg,
43,6a42281da442e100155f731d,张玲,野兽派猫居手记 2,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P043_野兽派猫居手记 2_QA.jpg,
44,6a422822c875390015656519,张玲,野兽派猫居手记 3,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P044_野兽派猫居手记 3_QA.jpg,
45,6a422828f7e50e00154b0595,张玲,野兽派猫居手记 4,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P045_野兽派猫居手记 4_QA.jpg,
46,6a4324334ab6d30015328b82,黄昊,赤原三骏,QA_FAIL_CROP,QA_PASS,ChatGPT 人工复核：场景1保留 QA_PASS；本轮明确问题仅适用于场景2的局部近景/裁片,QA_FAIL_CROP,场景2属于作品局部近景/裁片，不是完整作品场景图，完整作品四边和完整画面未保留,previews/qa_batches/P046_赤原三骏_QA.jpg,previews/qa_failures/P046_赤原三骏_QA.jpg
47,6a4324378a78380015ded5c7,黄昊,翠野碎光,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P047_翠野碎光_QA.jpg,
48,6a43243a43ed640015752ab0,黄昊,紫雾繁花,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P048_紫雾繁花_QA.jpg,
49,6a43243d82e31900159ab9ec,黄昊,沉青,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P049_沉青_QA.jpg,
50,6a432440acfd2d00154d9d38,黄昊,浮世色,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P050_浮世色_QA.jpg,
51,6a432443ab3c850015ae9673,黄昊,蓝海金澜,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P051_蓝海金澜_QA.jpg,
52,6a432446ab3c850015ae9689,黄昊,青坪粉絮,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P052_青坪粉絮_QA.jpg,
53,6a43244ac016db00154e10a4,雷大卫,流光,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P053_流光_QA.jpg,
54,6a43244ec13d0f0015048288,雷大卫,蓝调构成,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P054_蓝调构成_QA.jpg,
57,6a7aa0b52f72a60015b6ce00,陈玲,肌理画,QA_NEEDS_MANUAL,QA_NEEDS_MANUAL,高清原始场景中作品区域仅约百余像素，分辨率不足以逐项确认四边、四角、蓝色肌理和暗部纹理是否完整一致；不能猜测,QA_NEEDS_MANUAL,高清原始场景中作品区域仅约百余像素，分辨率不足以逐项确认四边、四角、蓝色肌理和暗部纹理是否完整一致；不能猜测,previews/qa_batches/P057_肌理画_QA.jpg,previews/qa_failures/P057_肌理画_QA.jpg
58,6a7aa0bbc13d0f00152276f6,陈玲,秋韵,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P058_秋韵_QA.jpg,
59,6a7aa0c0206b71001582c802,陈玲,桦林秋韵,QA_NEEDS_MANUAL,QA_NEEDS_MANUAL,高清原始场景中作品区域仅约百余像素，分辨率不足以逐项确认树干数量、红色树木位置、黄色树冠及上下左右边缘；不能猜测,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P059_桦林秋韵_QA.jpg,previews/qa_failures/P059_桦林秋韵_QA.jpg
60,6a7aa0c9c13d0f0015227755,陈玲,夜落星河,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P060_夜落星河_QA.jpg,
61,6a4b738982f5610015b5274a,陈玲,枕星而眠,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P061_枕星而眠_QA.jpg,
62,6a7bdbfe96a66f00151dadeb,毛一然,叶中花·春野花信,QA_FAIL_FRAME,QA_FAIL_FRAME,原图装裱为黑色厚外框+金色内框，当前场景未保留原装裱,QA_FAIL_FRAME,原图装裱为黑色厚外框+金色内框，当前场景未保留原装裱,previews/qa_batches/P062_叶中花·春野花信_QA.jpg,previews/qa_failures/P062_叶中花·春野花信_QA.jpg
63,6a7bdc04cc27b900154c2b11,毛一然,叶中花·花漫,QA_FAIL_FRAME,QA_FAIL_FRAME,原图装裱为黑色厚外框+金色内框，当前场景未保留原装裱,QA_FAIL_FRAME,原图装裱为黑色厚外框+金色内框，当前场景未保留原装裱,previews/qa_batches/P063_叶中花·花漫_QA.jpg,previews/qa_failures/P063_叶中花·花漫_QA.jpg
64,6a7bdbf8bb783d00153f4aec,毛一然,叶中花·粉黛玫瑰,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P064_叶中花·粉黛玫瑰_QA.jpg,
65,6a7ee0a6eb8eff0015995b5a,吴林霏,野鸭图,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P065_野鸭图_QA.jpg,
66,6a7ed5fb202ba20015805ccb,吴林霏,国色春融,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P066_国色春融_QA.jpg,
67,6a7ed5a4e3af990015a39702,吴林霏,寿石芳华,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P067_寿石芳华_QA.jpg,
68,6a7ed5ce69cb0d0015e0775d,吴林霏,玉兰图,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P068_玉兰图_QA.jpg,
69,6a7ed4e8acfd2d0015cc7459,丁冠中,散落之前 1,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P069_散落之前 1_QA.jpg,
70,6a7ed50d87c186001504a423,丁冠中,散落之前 2,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P070_散落之前 2_QA.jpg,
71,6a7ed532ab3c850015680c23,丁冠中,散落之前 8,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P071_散落之前 8_QA.jpg,
72,6a7ed55687fda10015a4cdcc,丁冠中,散落之前 16,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P072_散落之前 16_QA.jpg,
73,6a7ed57c06318f00158b348d,丁冠中,散落之前 17,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P073_散落之前 17_QA.jpg,
74,6a7f03b88a78380015d39d78,治愈颜料罐,角落,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P074_角落_QA.jpg,
75,6a7f03dc87fda10015a5d904,治愈颜料罐,瓷语,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P075_瓷语_QA.jpg,
76,6a7f0477c0b079001539e3da,治愈颜料罐,暖,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P076_暖_QA.jpg,
77,6a545d9b4ab6d300156c31ec,顽童,权利游戏之来财,QA_FAIL_CROP,QA_PASS,ChatGPT 人工复核：场景1保留 QA_PASS；本轮明确问题仅适用于场景2的局部特写,QA_FAIL_CROP,场景2明显为局部特写，完整作品边界与画面内容没有保留,previews/qa_batches/P077_权利游戏之来财_QA.jpg,previews/qa_failures/P077_权利游戏之来财_QA.jpg
78,6a548b8ca54570001590a94d,顽童,权利游戏之操控,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P078_权利游戏之操控_QA.jpg,
82,6a82e33cbbfeef00155b125a,张玲,野兽派猫居手记 5（2026）,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P082_野兽派猫居手记 5（2026）_QA.jpg,
83,6a82e3622f72a60015ac21aa,张玲,野兽派猫居手记 6（2026）,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P083_野兽派猫居手记 6（2026）_QA.jpg,
84,6a82e38a69cb0d0015fae931,张玲,野兽派猫居手记 7（2026）,QA_FAIL_CROP,QA_PASS,ChatGPT 人工复核：场景1保留 QA_PASS；本轮明确问题仅适用于场景2的大量裁切,QA_FAIL_CROP,场景2明显裁掉大量原作品区域，仅保留局部画面,previews/qa_batches/P084_野兽派猫居手记 7（2026）_QA.jpg,previews/qa_failures/P084_野兽派猫居手记 7（2026）_QA.jpg
