商品序号,商品ID,艺术家,作品名,artwork_lookup_key,original_reference,scene_1_reference,scene_1_qa_status,scene_1_qa_reason,scene_2_reference,scene_2_qa_status,scene_2_qa_reason,product_qa_status,qa_evidence_path,original_reference_local_path,scene_1_local_path,scene_2_local_path,failure_evidence_path
12,6a2835fdc875390015e6ec3b,赵思栋,春径,赵思栋-春径,LOCAL_SOURCE:012_row14_春径.png|LOOKUP:赵思栋-春径,EXISTING_PRODUCT:image_02.jpg,QA_NEEDS_MANUAL,匹配框覆盖墙面和柜体而非真实作品四角；当前证据不足以逐边核验画芯,EXISTING_PRODUCT:image_03.jpg,QA_NEEDS_MANUAL,匹配框覆盖木墙/柜体而非真实作品四角；当前证据不足以逐边核验画芯,QA_NEEDS_MANUAL,previews/qa_batches/P012_春径_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\012_row14_春径.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\012_6a2835fdc875390015e6ec3b\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\012_6a2835fdc875390015e6ec3b\image_03.jpg,previews/qa_failures/P012_春径_QA.jpg
13,6a283601964c0f00150f0570,赵思栋,塔尔寺的盛夏,赵思栋-塔尔寺的盛夏,LOCAL_SOURCE:013_row15_塔尔寺的盛夏.png|LOOKUP:赵思栋-塔尔寺的盛夏,EXISTING_PRODUCT:image_02.jpg,QA_NEEDS_MANUAL,匹配框覆盖墙面/桌面背景而非真实作品四角；当前证据不足以逐边核验画芯,EXISTING_PRODUCT:image_03.jpg,QA_NEEDS_MANUAL,匹配框覆盖木墙/柜体而非真实作品四角；当前证据不足以逐边核验画芯,QA_NEEDS_MANUAL,previews/qa_batches/P013_塔尔寺的盛夏_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\013_row15_塔尔寺的盛夏.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\013_6a283601964c0f00150f0570\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\013_6a283601964c0f00150f0570\image_03.jpg,previews/qa_failures/P013_塔尔寺的盛夏_QA.jpg
20,6a284fb0cf37170016d5416b,Z.K,隐秘,Z.K-隐秘,LOCAL_SOURCE:020_row22_隐秘.png|LOOKUP:Z.K-隐秘,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P020_隐秘_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\020_row22_隐秘.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\020_6a284fb0cf37170016d5416b\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\020_6a284fb0cf37170016d5416b\image_03.jpg,
21,6a284fb364c86a0015b8b53b,Z.K,同桌,Z.K-同桌,LOCAL_SOURCE:021_row23_同桌.png|LOOKUP:Z.K-同桌,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P021_同桌_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\021_row23_同桌.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\021_6a284fb364c86a0015b8b53b\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\021_6a284fb364c86a0015b8b53b\image_03.jpg,
22,6a2828d9c875390015e6be11,平台id:茗茗就是我,水果系列2-《桃韵》,平台id:茗茗就是我-水果系列2-《桃韵》,LOCAL_SOURCE:022_row24_水果系列2-《桃韵》.jpeg|LOOKUP:平台id:茗茗就是我-水果系列2-《桃韵》,EXISTING_PRODUCT:image_02.jpg,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景1只保留内部桃子圆形，原作外缘内容消失,EXISTING_PRODUCT:image_03.jpg,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景2只保留内部桃子圆形，原作外缘内容消失,QA_FAIL_CROP,previews/qa_batches/P022_水果系列2-《桃韵》_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\022_row24_水果系列2-《桃韵》.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\022_6a2828d9c875390015e6be11\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\022_6a2828d9c875390015e6be11\image_03.jpg,previews/qa_failures/P022_水果系列2-《桃韵》_QA.jpg
23,6a28361c82e31900157308ab,平台id:茗茗就是我,水果系列2-《蓝实》,平台id:茗茗就是我-水果系列2-《蓝实》,LOCAL_SOURCE:023_row25_水果系列2-《蓝实》.jpeg|LOOKUP:平台id:茗茗就是我-水果系列2-《蓝实》,EXISTING_PRODUCT:image_02.jpg,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景1只保留内部蓝实圆形，原作外缘内容消失,EXISTING_PRODUCT:image_03.jpg,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景2只保留内部蓝实圆形，原作外缘内容消失,QA_FAIL_CROP,previews/qa_batches/P023_水果系列2-《蓝实》_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\023_row25_水果系列2-《蓝实》.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\023_6a28361c82e31900157308ab\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\023_6a28361c82e31900157308ab\image_03.jpg,previews/qa_failures/P023_水果系列2-《蓝实》_QA.jpg
24,6a2836274ffccd001564b67a,平台id:茗茗就是我,水果系列2-《柠黄》,平台id:茗茗就是我-水果系列2-《柠黄》,LOCAL_SOURCE:024_row26_水果系列2-《柠黄》.jpeg|LOOKUP:平台id:茗茗就是我-水果系列2-《柠黄》,EXISTING_PRODUCT:image_02.jpg,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景1只保留内部柠黄圆形，原作外缘内容消失,EXISTING_PRODUCT:image_03.jpg,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景2只保留内部柠黄圆形，原作外缘内容消失,QA_FAIL_CROP,previews/qa_batches/P024_水果系列2-《柠黄》_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\024_row26_水果系列2-《柠黄》.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\024_6a2836274ffccd001564b67a\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\024_6a2836274ffccd001564b67a\image_03.jpg,previews/qa_failures/P024_水果系列2-《柠黄》_QA.jpg
25,6a28363074af4700150af39c,平台id:茗茗就是我,水果系列2-《青梨》,平台id:茗茗就是我-水果系列2-《青梨》,LOCAL_SOURCE:025_row27_水果系列2-《青梨》.jpeg|LOOKUP:平台id:茗茗就是我-水果系列2-《青梨》,EXISTING_PRODUCT:image_02.jpg,QA_FAIL_CROP,自动提取结果仅保留内部主体区域/近似圆形区域；原作品完整外轮廓或边缘信息未被完整保留；因此不能判定为完整一致,EXISTING_PRODUCT:image_03.jpg,QA_FAIL_CROP,自动提取结果仅保留内部主体区域/近似圆形区域；原作品完整外轮廓或边缘信息未被完整保留；因此不能判定为完整一致,QA_FAIL_CROP,previews/qa_batches/P025_水果系列2-《青梨》_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\025_row27_水果系列2-《青梨》.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\025_6a28363074af4700150af39c\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\025_6a28363074af4700150af39c\image_03.jpg,previews/qa_failures/P025_水果系列2-《青梨》_QA.jpg
26,6a28363dc875390015e6ecb5,平台id:茗茗就是我,水果系列2-《圆果.红》,平台id:茗茗就是我-水果系列2-《圆果.红》,LOCAL_SOURCE:026_row28_水果系列2-《圆果.红》.jpeg|LOOKUP:平台id:茗茗就是我-水果系列2-《圆果.红》,EXISTING_PRODUCT:image_02.jpg,QA_NEEDS_MANUAL,圆形作品外缘/背衬与场景边界关系无法仅凭当前匹配框可靠确认，不能猜测完整性,EXISTING_PRODUCT:image_03.jpg,QA_NEEDS_MANUAL,圆形作品外缘/背衬与场景边界关系无法仅凭当前匹配框可靠确认，不能猜测完整性,QA_NEEDS_MANUAL,previews/qa_batches/P026_水果系列2-《圆果.红》_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\026_row28_水果系列2-《圆果.红》.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\026_6a28363dc875390015e6ecb5\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\026_6a28363dc875390015e6ecb5\image_03.jpg,previews/qa_failures/P026_水果系列2-《圆果.红》_QA.jpg
28,6a2ff63716b37a0015251752,杨铭奕,渡,杨铭奕-渡,LOCAL_SOURCE:official_01.jpeg|LOOKUP:杨铭奕-渡,OFFICIAL:official_02.jpeg,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,OFFICIAL:official_03.jpeg,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,previews/qa_batches/P028_渡_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\028\official_01.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\028\official_02.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\028\official_03.jpeg,
29,6a012d2f22eb6500014d9b04,黄方,花间集,黄方-花间集,LOCAL_SOURCE:029_row31_花间集.png|LOOKUP:黄方-花间集,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P029_花间集_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\029_row31_花间集.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\029_6a012d2f22eb6500014d9b04\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\029_6a012d2f22eb6500014d9b04\image_03.jpg,
30,6a00c1aa22eb650001472157,Keith Hall,Solar Roots,Keith Hall-Solar Roots,LOCAL_SOURCE:030_row32_Solar Roots.png|LOOKUP:Keith Hall-Solar Roots,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P030_Solar Roots_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\030_row32_Solar Roots.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\030_6a00c1aa22eb650001472157\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\030_6a00c1aa22eb650001472157\image_03.jpg,
31,6a00c24a64eb4100012236b3,Keith Hall,The Opening That Stayed,Keith Hall-The Opening That Stayed,LOCAL_SOURCE:031_row33_The Opening That Stayed.png|LOOKUP:Keith Hall-The Opening That Stayed,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P031_The Opening That Stayed_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\031_row33_The Opening That Stayed.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\031_6a00c24a64eb4100012236b3\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\031_6a00c24a64eb4100012236b3\image_03.jpg,
32,6a0adde14d102c000100f395,Keith Hall,Held Light,Keith Hall-Held Light,LOCAL_SOURCE:032_row34_Held Light.png|LOOKUP:Keith Hall-Held Light,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P032_Held Light_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\032_row34_Held Light.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\032_6a0adde14d102c000100f395\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\032_6a0adde14d102c000100f395\image_03.jpg,
