商品序号,商品ID,商品名称,艺术家,作品名,真实尺寸,原有装裱/画框信息,官网场景图数量,官网场景图是否可用,原商品已有可用场景图数量,最终使用场景图1来源,最终使用场景图2来源,新生成场景图数量,scene_1 本地路径,scene_2 本地路径,当前状态,失败原因,备注
11,6a2835fba0915b001550e0d5,静海,赵思栋,静海,40*30,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P011/scene_1.png,outputs/regen_18/P011/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
12,6a2835fdc875390015e6ec3b,春径,赵思栋,春径,40*30,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P012/scene_1.png,outputs/regen_18/P012/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
13,6a283601964c0f00150f0570,塔尔寺的盛夏,赵思栋,塔尔寺的盛夏,40*30,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P013/scene_1.png,outputs/regen_18/P013/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
14,6a283604fe4ff50015c5bc66,卯兔,赵思栋,卯兔,外框55×55 cm；画面直径40 cm,灰色方框、白色留白/卡纸，不能改成裸圆盘,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
15,6a284fa9eb8eff00156e99c6,山野归晴,赵思栋,山野归晴,外框55×55 cm；画面直径40 cm,木色方框、白色留白/卡纸，不能改成裸圆盘,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
16,6a284fac16b37a0015ba28b9,清野逐光,赵思栋,清野逐光,外框55×55 cm；画面直径40 cm,白色方框、白色留白/卡纸，不能改成裸圆盘,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
17,6a28360a19f8df0015835899,眠春,赵思栋,眠春,外框55×55 cm；画面直径40 cm,方形外框、白色留白/卡纸，不能改成裸圆盘,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
18,6a28360c4ab6d300156f83ad,归鸟,赵思栋,归鸟,外框55×55 cm；画面直径40 cm,方形外框、白色留白/卡纸，不能改成裸圆盘,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
19,6a284faed528ea001544d789,双栖,赵思栋,双栖,外框55×55 cm；画面直径40 cm,深色方框、白色留白/卡纸，不能改成裸圆盘,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
20,6a284fb0cf37170016d5416b,隐秘,Z.K,隐秘,56.2×8.7cm（不含框，含框约15cm）,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\020_6a284fb0cf37170016d5416b\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\020_6a284fb0cf37170016d5416b\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
21,6a284fb364c86a0015b8b53b,同桌,Z.K,同桌,6.2×8.7cm（不含框，含框约15cm）,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\021_6a284fb364c86a0015b8b53b\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\021_6a284fb364c86a0015b8b53b\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
22,6a2828d9c875390015e6be11,水果系列2-《桃韵》,平台id:茗茗就是我,水果系列2-《桃韵》,直径50cm 厚度4.5cm,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P022/scene_1.png,outputs/regen_18/P022/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
23,6a28361c82e31900157308ab,水果系列2-《蓝实》,平台id:茗茗就是我,水果系列2-《蓝实》,直径50cm 厚度4.5cm,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P023/scene_1.png,outputs/regen_18/P023/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
24,6a2836274ffccd001564b67a,水果系列2-《柠黄》,平台id:茗茗就是我,水果系列2-《柠黄》,直径50cm 厚度4.5cm,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P024/scene_1.png,outputs/regen_18/P024/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
25,6a28363074af4700150af39c,水果系列2-《青梨》,平台id:茗茗就是我,水果系列2-《青梨》,直径50cm 厚度4.5cm,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P025/scene_1.png,outputs/regen_18/P025/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
26,6a28363dc875390015e6ecb5,水果系列2-《圆果.红》,平台id:茗茗就是我,水果系列2-《圆果.红》,直径50cm 厚度4.5cm,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P026/scene_1.png,outputs/regen_18/P026/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
27,6a2ff636c3604d001559a558,双生焰,杨铭奕,双生焰,Excel标注30×40 cm/幅；官方条目为多规格；上下双联,源图/官方图未见外框；保持双幅比例、上下间距及原作边界，不擅自加框,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
28,6a2ff63716b37a0015251752,渡,杨铭奕,渡,60×80 cm,源图/官方场景未见明确外框；保持原作比例和边界，不擅自加框,3,是,1,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\028\official_02.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\028\official_03.jpeg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
29,6a012d2f22eb6500014d9b04,花间集,黄方,花间集,40cm * 80cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\029_6a012d2f22eb6500014d9b04\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\029_6a012d2f22eb6500014d9b04\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
30,6a00c1aa22eb650001472157,Solar Roots,Keith Hall,Solar Roots,60cm * 50cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\030_6a00c1aa22eb650001472157\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\030_6a00c1aa22eb650001472157\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
31,6a00c24a64eb4100012236b3,The Opening That Stayed,Keith Hall,The Opening That Stayed,80cm * 60cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\031_6a00c24a64eb4100012236b3\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\031_6a00c24a64eb4100012236b3\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
32,6a0adde14d102c000100f395,Held Light,Keith Hall,Held Light,80cm * 60cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\032_6a0adde14d102c000100f395\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\032_6a0adde14d102c000100f395\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
33,69a9a89df209ba0001775a92,When Shanghai Turns Green,Keith Hall,When Shanghai Turns Green,80cm * 60cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\033_69a9a89df209ba0001775a92\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\033_69a9a89df209ba0001775a92\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
34,6a00c3ac0283e200017528b4,Patina,Keith Hall,Patina,80cm * 80cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\034_6a00c3ac0283e200017528b4\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\034_6a00c3ac0283e200017528b4\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
35,6a3a50b882f5610015b47073,小黑桌上的美景#1,又井,小黑桌上的美景#1,30*40,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\035_6a3a50b882f5610015b47073\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\035_6a3a50b882f5610015b47073\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
36,6a3a50be891c6a0015002a3a,小黑桌上的美景#2向日葵,又井,小黑桌上的美景#2向日葵,50*60,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\036_6a3a50be891c6a0015002a3a\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\036_6a3a50be891c6a0015002a3a\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
37,6a3a503a79e4100015ff6547,张扬虞美人,又井,张扬虞美人,50*60,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\037_6a3a503a79e4100015ff6547\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\037_6a3a503a79e4100015ff6547\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
38,6a43928ad528ea0015af9f2c,云绕山峰添春色,齐亮,云绕山峰添春色,60*80,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\038_6a43928ad528ea0015af9f2c\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\038_6a43928ad528ea0015af9f2c\image_03.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
39,6a3a50c34cc8690015264c87,庄稼地里的树木,齐亮,庄稼地里的树木,60*80,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\039_6a3a50c34cc8690015264c87\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\039_6a3a50c34cc8690015264c87\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
40,6a3a5051c875390015663d9a,轻灵系列—咪,张赫,轻灵系列—咪,20*30,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P040/scene_1.png,outputs/regen_18/P040/scene_2.png,READY_FOR_FINAL_FRAME_QA,上一轮候选未满足统一有框规则；本轮已重做，等待 ChatGPT 最终验收,本轮修正：加框 + 20×30cm 小尺寸表现；本轮不代表最终 QA_PASS
41,6a3a50c979e4100015ff6a4d,轻灵系列--对语,张赫,轻灵系列--对语,40*50,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\041_6a3a50c979e4100015ff6a4d\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\041_6a3a50c979e4100015ff6a4d\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
42,6a42281849fb5f001546f1d4,野兽派猫居手记 1,张玲,野兽派猫居手记 1,18*24,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\042_6a42281849fb5f001546f1d4\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\042_6a42281849fb5f001546f1d4\image_03.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
43,6a42281da442e100155f731d,野兽派猫居手记 2,张玲,野兽派猫居手记 2,18*24,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\043_6a42281da442e100155f731d\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\043_6a42281da442e100155f731d\image_03.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
44,6a422822c875390015656519,野兽派猫居手记 3,张玲,野兽派猫居手记 3,18*24,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\044_6a422822c875390015656519\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\044_6a422822c875390015656519\image_03.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
45,6a422828f7e50e00154b0595,野兽派猫居手记 4,张玲,野兽派猫居手记 4,18*24,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\045_6a422828f7e50e00154b0595\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\045_6a422828f7e50e00154b0595\image_03.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
46,6a4324334ab6d30015328b82,赤原三骏,黄昊,赤原三骏,80*60,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P046/scene_1.png,outputs/regen_18/P046/scene_2.png,READY_FOR_FINAL_FRAME_QA,上一轮候选未满足统一有框规则；本轮已重做，等待 ChatGPT 最终验收,本轮修正：加框；本轮不代表最终 QA_PASS
47,6a4324378a78380015ded5c7,翠野碎光,黄昊,翠野碎光,70*70,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\047_6a4324378a78380015ded5c7\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\047_6a4324378a78380015ded5c7\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
48,6a43243a43ed640015752ab0,紫雾繁花,黄昊,紫雾繁花,59*76,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\048_6a43243a43ed640015752ab0\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\048_6a43243a43ed640015752ab0\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
49,6a43243d82e31900159ab9ec,沉青,黄昊,沉青,50*100,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\049_6a43243d82e31900159ab9ec\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\049_6a43243d82e31900159ab9ec\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
50,6a432440acfd2d00154d9d38,浮世色,黄昊,浮世色,40*60,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\050_6a432440acfd2d00154d9d38\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\050_6a432440acfd2d00154d9d38\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
51,6a432443ab3c850015ae9673,蓝海金澜,黄昊,蓝海金澜,100*80,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\051_6a432443ab3c850015ae9673\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\051_6a432443ab3c850015ae9673\image_03.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
52,6a432446ab3c850015ae9689,青坪粉絮,黄昊,青坪粉絮,68*88,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\052_6a432446ab3c850015ae9689\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\052_6a432446ab3c850015ae9689\image_03.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
53,6a43244ac016db00154e10a4,流光,雷大卫,流光,120*80,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\053_6a43244ac016db00154e10a4\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\053_6a43244ac016db00154e10a4\image_03.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
